filename,width,height,class,xmin,ymin,xmax,ymax
M_G_Trabajando_Mano-Verde_7.jpg,1920,1080,hand,877,262,1121,422
M_G_Trabajando_Mano-Verde_7.jpg,1920,1080,hand,1104,121,1266,278
M_G_Trabajando_Verdes_170.jpg,1920,1080,hand,1001,332,1329,613
M_G_Trabajando_Verdes_170.jpg,1920,1080,hand,1233,289,1353,395
M_G_Trabajando_Manos_28.jpg,1920,1080,hand,812,219,944,320
M_G_Trabajando_Manos_28.jpg,1920,1080,hand,987,256,1105,372
M_G_Mostrando_Mano-Amarillo_11.jpg,1920,1080,hand,1063,206,1293,391
M_G_Mostrando_Mano-Amarillo_11.jpg,1920,1080,hand,304,162,503,351
M_G_Trabajando_Verdes_212.jpg,1920,1080,hand,639,265,838,452
M_G_Trabajando_Verdes_212.jpg,1920,1080,hand,986,267,1166,438
M_G_Trabajando_Amarillos_45.jpg,1920,1080,hand,909,163,1209,313
M_G_Trabajando_Amarillos_45.jpg,1920,1080,hand,1267,196,1419,314
M_G_Trabajando_Manos_0.jpg,1920,1080,hand,625,243,751,339
M_G_Trabajando_Manos_142.jpg,1920,1080,hand,872,220,1019,367
M_G_Trabajando_Manos_142.jpg,1920,1080,hand,714,213,839,343
M_G_Trabajando_Manos_72.jpg,1920,1080,hand,777,219,944,373
M_G_Trabajando_Manos_72.jpg,1920,1080,hand,1036,249,1252,393
M_G_Mostrando_Manos_10.jpg,1920,1080,hand,516,269,742,462
M_G_Mostrando_Manos_10.jpg,1920,1080,hand,890,306,1098,480
M_G_Mostrando_Amarillos_45.jpg,1920,1080,hand,892,332,1136,498
M_G_Mostrando_Amarillos_45.jpg,1920,1080,hand,1370,321,1526,485
M_G_Trabajando_Amarillos_26.jpg,1920,1080,hand,624,327,905,606
M_G_Trabajando_Amarillos_26.jpg,1920,1080,hand,355,378,607,645
M_G_Trabajando_Mano-Verde_55.jpg,1920,1080,hand,1192,231,1381,434
M_G_Trabajando_Mano-Verde_55.jpg,1920,1080,hand,824,289,985,481
M_G_Mostrando_Mano-Verde_7.jpg,1920,1080,hand,526,241,732,438
M_G_Mostrando_Mano-Verde_7.jpg,1920,1080,hand,1070,272,1274,402
M_G_Mostrando_Verdes_135.jpg,1920,1080,hand,1320,285,1499,443
M_G_Mostrando_Verdes_135.jpg,1920,1080,hand,658,221,913,368
M_G_Mostrando_Mano-Amarillo_8.jpg,1920,1080,hand,373,278,532,395
M_G_Mostrando_Mano-Amarillo_8.jpg,1920,1080,hand,1096,308,1248,436
M_G_Trabajando_Manos_256.jpg,1920,1080,hand,468,488,682,696
M_G_Trabajando_Manos_256.jpg,1920,1080,hand,480,284,629,408
M_G_Trabajando_Verdes_185.jpg,1920,1080,hand,724,207,931,367
M_G_Trabajando_Verdes_185.jpg,1920,1080,hand,1167,249,1303,456
M_G_Mostrando_Verdes_0.jpg,1920,1080,hand,212,464,462,708
M_G_Mostrando_Verdes_0.jpg,1920,1080,hand,790,291,1031,433
M_G_Trabajando_Mano-Amarillo_13.jpg,1920,1080,hand,982,105,1130,219
M_G_Trabajando_Mano-Amarillo_13.jpg,1920,1080,hand,850,107,983,217
M_G_Trabajando_Amarillos_4.jpg,1920,1080,hand,887,123,1029,252
M_G_Trabajando_Verdes_65.jpg,1920,1080,hand,732,29,912,254
M_G_Trabajando_Verdes_65.jpg,1920,1080,hand,659,264,804,408
M_G_Mostrando_Amarillos_78.jpg,1920,1080,hand,989,338,1235,561
M_G_Mostrando_Amarillos_78.jpg,1920,1080,hand,434,376,698,657
M_G_Trabajando_Amarillos_86.jpg,1920,1080,hand,795,76,1054,245
M_G_Trabajando_Amarillos_86.jpg,1920,1080,hand,689,249,786,365
M_G_Mostrando_Mano-Verde_11.jpg,1920,1080,hand,841,390,1097,627
M_G_Mostrando_Mano-Verde_11.jpg,1920,1080,hand,501,322,736,573
M_G_Trabajando_Mano-Amarillo_10.jpg,1920,1080,hand,892,106,1055,222
M_G_Trabajando_Mano-Amarillo_10.jpg,1920,1080,hand,1028,120,1167,239
M_G_Trabajando_Verdes_184.jpg,1920,1080,hand,706,197,864,377
M_G_Trabajando_Verdes_184.jpg,1920,1080,hand,1164,251,1302,447
M_G_Trabajando_Verdes_21.jpg,1920,1080,hand,903,257,1111,399
M_G_Trabajando_Verdes_21.jpg,1920,1080,hand,719,85,898,236
M_G_Trabajando_Verdes_158.jpg,1920,1080,hand,1611,444,1783,710
M_G_Mostrando_Manos_75.jpg,1920,1080,hand,591,538,842,781
M_G_Mostrando_Manos_75.jpg,1920,1080,hand,160,500,381,738
M_G_Trabajando_Amarillos_29.jpg,1920,1080,hand,586,399,856,645
M_G_Trabajando_Amarillos_29.jpg,1920,1080,hand,389,386,570,619
M_G_Mostrando_Manos_148.jpg,1920,1080,hand,1234,483,1428,684
M_G_Mostrando_Manos_148.jpg,1920,1080,hand,1467,425,1612,629
M_G_Mostrando_Verdes_4.jpg,1920,1080,hand,729,338,899,561
